FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,STATE_ALPHA,STATE_NUMERIC,COUNTY_NAME,COUNTY_NUMERIC,PRIMARY_LAT_DMS,PRIM_LONG_DMS,PRIM_LAT_DEC,PRIM_LONG_DEC,SOURCE_LAT_DMS,SOURCE_LONG_DMS,SOURCE_LAT_DEC,SOURCE_LONG_DEC,ELEV_IN_M,ELEV_IN_FT,MAP_NAME,DATE_CREATED,DATE_EDITED
217912,Canyon Del Rey,Valley,CA,6,Monterey,53,363444N,1214315W,36.5788493,-121.7207805,363408N,1214432W,36.5688889,-121.7422222,72,236,Spreckels,1/19/81,
217913,Canyon Del Rey,Valley,CA,6,Monterey,53,363537N,1215006W,36.5935712,-121.8349515,363415N,1214453W,36.5707937,-121.7480036,24,79,Seaside,1/19/81,
217917,Dickson Creek,Stream,CA,6,Solano,95,382234N,1214515W,38.3760214,-121.7541257,382921N,1215113W,38.4891667,-121.8536111,7,23,Dixon,1/19/81,
217918,Jogel Slough,Gut,CA,6,Santa Clara,85,372622N,1220305W,37.439384,-122.0513507,,,,,1,3,Mountain View,1/19/81,
217920,Mad River,Stream,CA,6,Humboldt,23,405721N,1240739W,40.9557002,-124.1273839,401220N,1230923W,40.2054271,-123.156409,2,7,Tyee City,1/19/81,12/10/13
217925,San Clemente Creek,Stream,CA,6,Marin,41,375532N,1222959W,37.9254806,-122.4996962,375511N,1223026W,37.9196474,-122.5071965,-1,-3,San Quentin,1/19/81,8/17/16
217927,South Branch Tularcitos Creek,Stream,CA,6,Santa Clara,85,372641N,1215227W,37.4446606,-121.8741229,372659N,1215155W,37.4497222,-121.8652778,61,200,Calaveras Reservoir,1/19/81,7/15/16
217930,Twin Lakes State Beach,Park,CA,6,Santa Cruz,87,365744N,1215959W,36.9621729,-121.9996839,,,,,4,13,Soquel,1/19/81,
217931,Upper North Fork Honeydew Creek,Stream,CA,6,Humboldt,23,401134N,1240817W,40.1926401,-124.1380958,401004N,1240729W,40.1676407,-124.1247611,213,699,Shubrick Peak,1/19/81,4/12/16
217934,Abalobadiah Creek,Stream,CA,6,Mendocino,45,393356N,1234602W,39.56544,-123.7672384,393521N,1234426W,39.58905,-123.7405718,0,0,Inglenook,1/19/81,3/16/16
217935,Abalone Point,Cape,CA,6,Mendocino,45,394004N,1234731W,39.6676579,-123.791963,,,,,15,49,Westport,1/19/81,
