FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,STATE_ALPHA,STATE_NUMERIC,COUNTY_NAME,COUNTY_NUMERIC,PRIMARY_LAT_DMS,PRIM_LONG_DMS,PRIM_LAT_DEC,PRIM_LONG_DEC,SOURCE_LAT_DMS,SOURCE_LONG_DMS,SOURCE_LAT_DEC,SOURCE_LONG_DEC,ELEV_IN_M,ELEV_IN_FT,MAP_NAME,DATE_CREATED,DATE_EDITED
1116450,Switch Back Creek,Stream,OR,41,Lane,39,440055N,1221714W,44.0154008,-122.2872676,440138N,1221620W,44.0272222,-122.2722222,868,2848,Harvey Mountain,6/1/92,
1116452,Dearborn Island,Island,OR,41,Lane,39,440959N,1221434W,44.1665142,-122.2428387,,,,,364,1194,McKenzie Bridge,6/1/92,
1116453,Gold Basin Springs,Spring,OR,41,Curry,15,421817N,1235344W,42.3047396,-123.8955844,,,,,1189,3901,Tincup Peak,6/1/92,1/2/13
1116454,Cedar Camp,Locale,OR,41,Curry,15,421611N,1235944W,42.2698303,-123.9956366,,,,,978,3209,Tincup Peak,6/1/92,
1116473,Jacks Camp,Locale,OR,41,Curry,15,421801N,1240319W,42.3003857,-124.0553622,,,,,811,2661,Big Craggies,6/1/92,
1116474,Humboldt Spring,Spring,OR,41,Curry,15,421701N,1240621W,42.2835323,-124.1058954,,,,,729,2392,Big Craggies,6/1/92,7/3/13
1116475,Upper Mislatnah Prairie,Area,OR,41,Curry,15,421654N,1240349W,42.2817745,-124.0636957,,,,,482,1581,Big Craggies,6/1/92,
1116477,Wilson Creek,Stream,OR,41,Coos,11,424843N,1235038W,42.8120567,-123.8439737,424753N,1234730W,42.7980556,-123.7916667,618,2028,Mount Bolivar,6/1/92,
1116481,Rogue River Ranch,Locale,OR,41,Curry,15,424306N,1235253W,42.7184448,-123.8814736,,,,,122,400,Marial,6/1/92,
1116482,Half Moon Riffle,Rapids,OR,41,Curry,15,424136N,1235632W,42.693444,-123.9423091,,,,,77,253,Marial,6/1/92,
1116483,Tucker Flat,Flat,OR,41,Curry,15,424317N,1235244W,42.7215004,-123.8789736,,,,,135,443,Marial,6/1/92,
1116484,Narrows,Rapids,OR,41,Curry,15,424223N,1235329W,42.7065002,-123.8914738,,,,,99,325,Marial,6/1/92,
1116485,Coffeepot,Rapids,OR,41,Curry,15,424155N,1235355W,42.6987223,-123.8986962,,,,,96,315,Marial,6/1/92,
1116486,Paradise Riffle,Rapids,OR,41,Curry,15,424151N,1235617W,42.6976108,-123.9381423,,,,,80,262,Marial,6/1/92,
1116487,Gleason Bar,Bar,OR,41,Curry,15,424212N,1235525W,42.7034443,-123.9236974,,,,,85,279,Marial,6/1/92,
1116488,Tichenor Riffle,Rapids,OR,41,Curry,15,424037N,1235705W,42.6770549,-123.9514758,,,,,71,233,Marial,6/1/92,
1116489,Camp Tacoma,Locale,OR,41,Curry,15,424020N,1235809W,42.6723325,-123.9692542,,,,,121,397,Marial,6/1/92,
1116493,McVay Rock,Pillar,OR,41,Curry,15,420106N,1241349W,42.0183257,-124.2302012,,,,,36,118,Mount Emily,6/1/92,8/20/13
1116494,Tuttle Creek,Stream,OR,41,Curry,15,420234N,1241559W,42.042889,-124.2664804,420308N,1241414W,42.0523329,-124.237312,3,10,Brookings,6/1/92,
1116499,Cold Spring,Spring,OR,41,Curry,15,421050N,1234900W,42.1806231,-123.8167034,,,,,1258,4127,Josephine Mountain,6/1/92,1/2/13
1116502,Palouse Slough,Stream,OR,41,Coos,11,432757N,1241124W,43.4659466,-124.1901129,432900N,1241010W,43.4833333,-124.1694444,0,0,North Bend,6/1/92,
1116526,Slide Creek,Stream,OR,41,Douglas,19,430726N,1222820W,43.1240115,-122.472264,430833N,1222744W,43.1426225,-122.4622639,1071,3514,Fish Mountain,6/1/92,
1116535,Nickel Creek,Stream,OR,41,Coos,11,424437N,1240632W,42.7435927,-124.1090083,424327N,1240536W,42.7241279,-124.0933657,341,1119,Illahe,6/1/92,5/9/11
1116538,Illahe Lodge,Locale,OR,41,Curry,15,423847N,1240304W,42.6464984,-124.0512013,,,,,88,289,Illahe,6/1/92,
