FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,STATE_ALPHA,STATE_NUMERIC,COUNTY_NAME,COUNTY_NUMERIC,PRIMARY_LAT_DMS,PRIM_LONG_DMS,PRIM_LAT_DEC,PRIM_LONG_DEC,SOURCE_LAT_DMS,SOURCE_LONG_DMS,SOURCE_LAT_DEC,SOURCE_LONG_DEC,ELEV_IN_M,ELEV_IN_FT,MAP_NAME,DATE_CREATED,DATE_EDITED
1121353,Grays Bay Light,Locale,WA,53,Pacific,49,461600N,1234359W,46.2667736,-123.7329197,,,,,0,0,Rosburg,9/10/79,
1132753,Julia Butler Hansen Refuge for the Columbian White-tailed Deer,Park,WA,53,Wahkiakum,69,461457N,1232505W,46.2491665,-123.4180044,,,,,2,7,Cathlamet,5/22/86,7/9/20
1502904,Cannery Slough,Bay,WA,53,Pacific,49,464310N,1240152W,46.7194107,-124.0311156,,,,,0,0,North Cove,9/10/79,5/6/19
1502905,Charley Creek,Stream,WA,53,Grays Harbor,27,465711N,1235034W,46.9531485,-123.8426668,465432N,1234441W,46.9089845,-123.7446085,1,3,Aberdeen,9/10/79,
1502909,Kindred Slough,Swamp,WA,53,Pacific,49,464331N,1240003W,46.7251524,-124.0008394,,,,,2,7,North Cove,9/10/79,5/6/19
1502912,P and E Ridge,Ridge,WA,53,Pacific,49,463603N,1233155W,46.6009358,-123.5318219,,,,,338,1109,Lebam,9/10/79,
1502914,Penny Creek,Stream,WA,53,Pacific,49,463309N,1233209W,46.5526032,-123.5357095,463353N,1232847W,46.5648253,-123.4795971,61,200,Lebam,12/31/92,
1502924,Abbey Island,Island,WA,53,Jefferson,31,474253N,1242517W,47.7148005,-124.4213104,,,,,34,112,Destruction Island,9/10/79,11/25/16
1502925,Abe Creek,Stream,WA,53,Wahkiakum,69,461052N,1232055W,46.1812212,-123.3487373,461114N,1231955W,46.1872222,-123.3319444,18,59,Nassa Point,9/10/79,
1502927,Aberdeen Gardens,Locale,WA,53,Grays Harbor,27,470332N,1234617W,47.0589812,-123.7712775,,,,,16,52,Aberdeen Gardens,9/10/79,
1502931,Abrams Park,Park,WA,53,Clark,11,454906N,1224415W,45.8184483,-122.7376009,,,,,14,46,Ridgefield,9/10/79,
1502934,Active Cove,Bay,WA,53,San Juan,55,484708N,1225804W,48.7856404,-122.9677566,,,,,0,0,Sucia Island,9/10/79,4/21/19
1502939,Adamson Ranch,Locale,WA,53,Pacific,49,462248N,1240100W,46.3801001,-124.0165458,,,,,12,39,Ocean Park,9/10/79,
1502943,Admiralty Bay,Bay,WA,53,Island,29,480928N,1223831W,48.1576549,-122.6419578,,,,,0,0,Coupeville,9/10/79,5/17/19
1502944,Admiralty Head,Cape,WA,53,Island,29,480919N,1224046W,48.155374,-122.679333,,,,,5,16,Coupeville,9/10/79,11/25/16
1502947,Agate Beach County Park,Park,WA,53,San Juan,55,482543N,1225236W,48.4287109,-122.8765656,,,,,9,30,Richardson,9/10/79,
1502948,Agate Pass Bridge,Bridge,WA,53,Kitsap,35,474243N,1223358W,47.7120404,-122.5659729,,,,,0,0,Suquamish,9/10/79,
1502949,Agate Passage,Bay,WA,53,Kitsap,35,474306N,1223334W,47.7184191,-122.5595405,,,,,0,0,Suquamish,9/10/79,5/17/19
