report,scientificName,retrieved
fhl_2011_Brezicha_25959,Strongylocentrotus franciscanus,2021-06-28T21:49:14.869698
fhl_2011_Brezicha_25959,S. franciscanus,2021-06-28T21:49:14.869698
fhl_2011_Brezicha_25959,S. franciscanus,2021-06-28T21:49:14.869698
fhl_2011_Brezicha_25959,S. franciscanus,2021-06-28T21:49:14.869698
fhl_2011_Brezicha_25959,S. franciscanus,2021-06-28T21:49:14.869698
fhl_2011_Brezicha_25959,Parastichopus californicus,2021-06-28T21:49:14.869698
fhl_2011_Bockmon_26635,M. trossulus,2021-06-28T21:49:15.370751
fhl_2011_Bockmon_26635,Co�calc-a user-friendly seawater,2021-06-28T21:49:15.370751
fhl_2011_Broell_26677,Myoxocephalus polyacanthocephalus,2021-06-28T21:49:15.993685
fhl_2011_Broell_26677,Myoxocephalus polyacanthocephalus,2021-06-28T21:49:15.993685
fhl_2011_Broell_26677,Leonardo,2021-06-28T21:49:15.993685
fhl_2011_Broell_26677,Ammodytes,2021-06-28T21:49:15.993685
fhl_2011_Broell_26677,M. polyacanthocephalus,2021-06-28T21:49:15.993685
fhl_2011_Broell_26677,Leonardo,2021-06-28T21:49:15.993685
fhl_2011_Broell_26677,M. polyacanthocephalus,2021-06-28T21:49:15.993685
fhl_2011_Phillips_26637,Co�calc-a userfriendly seawater,2021-06-28T21:49:16.652994
fhl_2011_Pierce_26647,Molgula occulta,2021-06-28T21:49:17.268976
fhl_2011_Pierce_26647,M. oculata,2021-06-28T21:49:17.268976
fhl_2011_Pierce_26647,M. occulta,2021-06-28T21:49:17.268976
fhl_2011_Pierce_26647,M. occulta,2021-06-28T21:49:17.268976
fhl_2011_Pierce_26647,M. oculata,2021-06-28T21:49:17.268976
fhl_2011_Pierce_26647,M. occulta,2021-06-28T21:49:17.268976
fhl_2011_Pierce_26647,M. occulta,2021-06-28T21:49:17.268976
fhl_2011_Pierce_26647,M. oculata,2021-06-28T21:49:17.268976
fhl_2011_Pierce_26647,M. oculata,2021-06-28T21:49:17.268976
fhl_2011_Pierce_26647,M. occulta,2021-06-28T21:49:17.268976
