wiki_uri,label,report_name,date,image_url
http://www.wikidata.org/entity/Q1870469,Sepioteuthis lessoniana,hms_bt693df6514,1971,http://commons.wikimedia.org/wiki/Special:FilePath/Sepiotenthis%20lessoniana.jpg
http://www.wikidata.org/entity/Q1870469,Sepioteuthis lessoniana,hms_zh604ny4735,1991,http://commons.wikimedia.org/wiki/Special:FilePath/Sepiotenthis%20lessoniana.jpg
http://www.wikidata.org/entity/Q4474849,Megalorchestia californiana,fhl_2015_Dodgen_34802,2015,http://commons.wikimedia.org/wiki/Special:FilePath/Megalorchestia%20californiana%20%2823811918716%29.jpg
http://www.wikidata.org/entity/Q4474849,Megalorchestia californiana,fhl_2015_Dodgen_34802,2015,http://commons.wikimedia.org/wiki/Special:FilePath/California%20Beach%20Flea%20-%20Flickr%20-%20GregTheBusker.jpg
http://www.wikidata.org/entity/Q4474849,Megalorchestia californiana,fhl_2015_Dodgen_34802,2015,http://commons.wikimedia.org/wiki/Special:FilePath/Megalorchestia%20californiana.jpg
http://www.wikidata.org/entity/Q182258,Patella vulgata,fhl_2013_Brezak_27180,2013,http://commons.wikimedia.org/wiki/Special:FilePath/Common%20limpets1.jpg
http://www.wikidata.org/entity/Q182258,Patella vulgata,hms_gd149zw3968,1974,http://commons.wikimedia.org/wiki/Special:FilePath/Common%20limpets1.jpg
http://www.wikidata.org/entity/Q182258,Patella vulgata,hms_ks998zn1244,1985,http://commons.wikimedia.org/wiki/Special:FilePath/Common%20limpets1.jpg
http://www.wikidata.org/entity/Q182258,Patella vulgata,hms_sm457jf7850,1963,http://commons.wikimedia.org/wiki/Special:FilePath/Common%20limpets1.jpg
http://www.wikidata.org/entity/Q2676791,Clathrina coriacea,carl_1978_JohnsonDave,,http://commons.wikimedia.org/wiki/Special:FilePath/Clathrina%20coriacea%20%28Montagu%2C%201818%29%20sur%20Spirastrella%20cunctatrix%20Schmidt%2C%201868.jpg
http://www.wikidata.org/entity/Q2434603,Scorpaena guttata,ucla_1978_IstrinJosef_Cnicholsii,,http://commons.wikimedia.org/wiki/Special:FilePath/Scorpaena%20guttata.jpg
http://www.wikidata.org/entity/Q2434603,Scorpaena guttata,usc_1979_Su_Payne,,http://commons.wikimedia.org/wiki/Special:FilePath/Scorpaena%20guttata.jpg
http://www.wikidata.org/entity/Q2434603,Scorpaena guttata,carl_1983_OlanderAndrea,,http://commons.wikimedia.org/wiki/Special:FilePath/Scorpaena%20guttata.jpg
http://www.wikidata.org/entity/Q2434603,Scorpaena guttata,hms_qz846bn3416,1999,http://commons.wikimedia.org/wiki/Special:FilePath/Scorpaena%20guttata.jpg
http://www.wikidata.org/entity/Q2434603,Scorpaena guttata,usc_1979_Su_Gerard,,http://commons.wikimedia.org/wiki/Special:FilePath/Scorpaena%20guttata.jpg
http://www.wikidata.org/entity/Q1892630,Chaunax stigmaeus,hms_zr066mx9000,1970,http://commons.wikimedia.org/wiki/Special:FilePath/Chaunax%20stigmaeus%20dorsal%20view2.jpg
http://www.wikidata.org/entity/Q28872038,Holopneustes purpurascens,fhl_2013_O’Neil_27184,2013,http://commons.wikimedia.org/wiki/Special:FilePath/Holopneustes%20pycnotilus%20Clark%2C%20H.L.%20%28AM%20MA77548%29%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q2701588,Proteus vulgaris,hms_yb900zh0028,1975,http://commons.wikimedia.org/wiki/Special:FilePath/Proteus%20McConkey.jpg
